team1,sum(score),mean,std
NYY,820,4.205128205,2.773024394
STL,478,3.950413223,2.789418218
LAD,459,4.135135135,2.81711163
BOS,399,5.050632911,3.869336172
SFG,367,4.369047619,2.823224517
ATL,357,4.151162791,3.273844446
CLE,265,4.732142857,3.42976846
OAK,253,3.614285714,2.385298311
PHI,247,4.490909091,3.005382377
NYM,201,4.276595745,2.924425827
BAL,194,3.959183673,3.034243341
DET,184,3.755102041,2.537474238
CIN,174,3.70212766,2.421954777
CHC,172,3.583333333,3.016503071
HOU,169,4.225,2.759482486
MIN,169,4.023809524,2.664015814
KCR,166,4.256410256,2.953302778
ANA,152,4.470588235,2.997325011
TOR,146,4.424242424,2.500378759
PIT,143,3.487804878,2.712212669
CHW,98,3.92,3.402450098
ARI,96,4.571428571,4.105745104
TEX,92,3.68,3.4
MIL,83,4.611111111,2.592724864
SDP,62,3.875,2.334523506
FLA,61,3.588235294,2.265469695
SEA,57,3.352941176,2.871001055
WSN,49,3.0625,2.407453703
TBD,46,3.066666667,2.548575699
COL,37,3.7,1.702938637